transcript_id	Annotation_uniprot
P3503_108_TRINITY_DN25328_c0_g1_i1	
P3503_121_TRINITY_DN2472_c0_g1_i1	Q00361
P3503_103_TRINITY_DN18842_c0_g1_i3	Q13123
P3503_118_TRINITY_DN22191_c5_g3_i2	Q9Y548
P3503_132_TRINITY_DN25299_c0_g1_i1	
P3503_129_TRINITY_DN19749_c0_g1_i1	Q6DRL5
P3503_130_TRINITY_DN18585_c0_g2_i1	Q32LQ4
P3503_123_TRINITY_DN32446_c0_g1_i1	
P3503_103_TRINITY_DN21538_c6_g1_i1	P62264
P3503_120_TRINITY_DN1541_c0_g1_i1	P59645
P3503_130_TRINITY_DN21032_c0_g1_i3	
P3503_121_TRINITY_DN19148_c0_g1_i1	Q8WWI1
P3503_133_TRINITY_DN20187_c0_g1_i1	Q9WVL0
P3503_108_TRINITY_DN17101_c0_g1_i2	
P3503_114_TRINITY_DN17155_c0_g1_i1	Q2KHM9
P3503_131_TRINITY_DN39208_c0_g1_i1	Q5ZHX5
P3503_109_TRINITY_DN12691_c0_g2_i1	Q7Z2Z2
P3503_131_TRINITY_DN36054_c0_g1_i1	
P3503_133_TRINITY_DN28069_c0_g1_i1	P54313
P3503_109_TRINITY_DN2468_c1_g1_i1	
P3503_106_TRINITY_DN18506_c4_g1_i1	
P3503_125_TRINITY_DN6652_c0_g1_i1	
P3503_101_TRINITY_DN20692_c6_g4_i1	
P3503_101_TRINITY_DN17793_c0_g1_i1	Q66I59
P3503_131_TRINITY_DN21525_c1_g1_i2	
P3503_132_TRINITY_DN22859_c3_g1_i1	
P3503_132_TRINITY_DN22859_c3_g1_i2	Q9UG22
P3503_106_TRINITY_DN12877_c0_g1_i1	A5PJX7
P3503_117_TRINITY_DN15498_c0_g1_i1	P08249
P3503_118_TRINITY_DN12606_c0_g1_i1	
P3503_132_TRINITY_DN22859_c3_g1_i8	Q8NHV1
P3503_117_TRINITY_DN28088_c0_g1_i1	
P3503_120_TRINITY_DN7176_c0_g1_i1	
P3503_114_TRINITY_DN25178_c0_g1_i1	
P3503_109_TRINITY_DN32278_c0_g1_i1	Q5M7X9
P3503_120_TRINITY_DN15672_c1_g1_i1	A3KPW9
P3503_103_TRINITY_DN27839_c0_g1_i1	
P3503_114_TRINITY_DN7150_c0_g2_i1	
P3503_106_TRINITY_DN31880_c0_g1_i1	
P3503_131_TRINITY_DN21657_c5_g1_i16	Q9BXJ4
P3503_119_TRINITY_DN23465_c0_g1_i1	
P3503_111_TRINITY_DN13930_c0_g1_i1	
P3503_106_TRINITY_DN18521_c0_g1_i1	Q0II87
P3503_130_TRINITY_DN35261_c0_g1_i1	Q6TH15
P3503_118_TRINITY_DN25390_c0_g1_i1	
P3503_125_TRINITY_DN14516_c0_g1_i2	Q5VZL5
P3503_101_TRINITY_DN29194_c0_g1_i1	Q12802
P3503_114_TRINITY_DN31640_c0_g1_i1	
P3503_129_TRINITY_DN18174_c0_g1_i1	
P3503_118_TRINITY_DN6499_c0_g1_i1	
P3503_121_TRINITY_DN21285_c0_g1_i3	P06909
P3503_102_TRINITY_DN33247_c0_g1_i1	
P3503_111_TRINITY_DN23351_c2_g8_i2	
P3503_101_TRINITY_DN13728_c0_g2_i1	A2CES0
P3503_111_TRINITY_DN16216_c0_g1_i1	
P3503_106_TRINITY_DN21382_c0_g5_i1	
P3503_103_TRINITY_DN21504_c3_g4_i5	
P3503_117_TRINITY_DN19428_c0_g1_i1	P52161
P3503_105_TRINITY_DN18586_c0_g1_i1	
P3503_105_TRINITY_DN15492_c0_g1_i1	
P3503_118_TRINITY_DN22398_c8_g6_i1	P98093
P3503_118_TRINITY_DN22357_c1_g7_i1	
P3503_103_TRINITY_DN36873_c0_g1_i1	A0JNC2
P3503_114_TRINITY_DN15019_c0_g1_i1	O88286
P3503_129_TRINITY_DN39609_c0_g1_i1	Q9BZE2
P3503_125_TRINITY_DN3841_c0_g1_i1	Q7L2E3
P3503_118_TRINITY_DN38452_c0_g1_i1	
P3503_125_TRINITY_DN34549_c0_g1_i1	
P3503_111_TRINITY_DN9650_c1_g1_i1	
P3503_119_TRINITY_DN25683_c0_g1_i1	Q5ND34
P3503_106_TRINITY_DN18149_c0_g2_i1	
P3503_114_TRINITY_DN18328_c0_g2_i1	Q802W4
P3503_130_TRINITY_DN21895_c0_g1_i1	Q90Y50
P3503_118_TRINITY_DN3117_c0_g1_i1	Q2KIU0
P3503_117_TRINITY_DN20472_c5_g5_i1	Q9BQQ3
P3503_108_TRINITY_DN14232_c2_g1_i1	
P3503_133_TRINITY_DN21996_c5_g1_i1	
P3503_132_TRINITY_DN23042_c1_g2_i7	Q04202
P3503_115_TRINITY_DN19409_c0_g1_i1	
P3503_133_TRINITY_DN37370_c0_g1_i1	Q5F464
P3503_121_TRINITY_DN21439_c8_g1_i1	
P3503_113_TRINITY_DN20976_c5_g2_i2	P47952
P3503_114_TRINITY_DN776_c0_g1_i1	Q5R481
P3503_131_TRINITY_DN37640_c0_g1_i1	
P3503_108_TRINITY_DN1191_c0_g2_i1	
P3503_133_TRINITY_DN23892_c0_g1_i1	
P3503_131_TRINITY_DN39471_c0_g1_i1	
P3503_129_TRINITY_DN31808_c0_g1_i1	
P3503_106_TRINITY_DN30053_c0_g1_i1	
P3503_121_TRINITY_DN36648_c0_g1_i1	Q70CQ2
P3503_125_TRINITY_DN22511_c1_g1_i2	Q4U0S5
P3503_125_TRINITY_DN18784_c0_g1_i1	O75771
P3503_114_TRINITY_DN28832_c0_g1_i1	
P3503_121_TRINITY_DN22444_c0_g1_i1	Q9D2H6
P3503_115_TRINITY_DN21045_c1_g6_i2	Q32PE0
P3503_103_TRINITY_DN29877_c0_g1_i1	Q6A070
P3503_129_TRINITY_DN8139_c0_g1_i1	
P3503_119_TRINITY_DN19222_c0_g1_i1	A0JNA2
P3503_125_TRINITY_DN21115_c1_g2_i1	O13134
P3503_108_TRINITY_DN13184_c1_g1_i1	A6QQP7
P3503_114_TRINITY_DN26329_c0_g1_i1	Q921E2
P3503_118_TRINITY_DN16787_c2_g1_i1	
P3503_125_TRINITY_DN35506_c0_g1_i1	
P3503_101_TRINITY_DN20908_c5_g1_i6	A0ZSK3
P3503_101_TRINITY_DN20908_c5_g1_i7	A0ZSK3
P3503_114_TRINITY_DN20766_c1_g1_i1	
P3503_103_TRINITY_DN31567_c0_g1_i1	
P3503_108_TRINITY_DN25498_c0_g1_i1	
P3503_109_TRINITY_DN14008_c0_g2_i1	Q1L908
P3503_113_TRINITY_DN29418_c0_g1_i1	
P3503_114_TRINITY_DN19831_c0_g1_i2	Q80V24
P3503_114_TRINITY_DN15278_c0_g2_i1	Q9NQC1
P3503_105_TRINITY_DN28138_c0_g1_i1	
P3503_129_TRINITY_DN8048_c0_g1_i1	
P3503_131_TRINITY_DN17364_c1_g1_i1	
P3503_120_TRINITY_DN18231_c0_g1_i1	Q4G0S4
P3503_119_TRINITY_DN16110_c0_g1_i1	Q9BYD6
P3503_108_TRINITY_DN5743_c0_g1_i1	Q8TEU8
P3503_123_TRINITY_DN18299_c1_g1_i1	
P3503_118_TRINITY_DN21170_c0_g1_i4	P13505
P3503_118_TRINITY_DN21170_c0_g1_i3	P13505
P3503_131_TRINITY_DN20249_c0_g2_i1	Q14108
P3503_132_TRINITY_DN21384_c0_g1_i1	Q32PL1
P3503_114_TRINITY_DN21684_c4_g5_i17	
P3503_109_TRINITY_DN25078_c0_g1_i1	
P3503_120_TRINITY_DN25955_c0_g1_i1	
P3503_123_TRINITY_DN10663_c0_g1_i1	E7EXT2
P3503_114_TRINITY_DN31363_c0_g1_i1	
P3503_133_TRINITY_DN15796_c0_g1_i1	Q9NYJ8
P3503_132_TRINITY_DN22201_c2_g1_i1	
P3503_119_TRINITY_DN22578_c2_g1_i1	Q9BXW6
P3503_130_TRINITY_DN22230_c0_g3_i1	
P3503_130_TRINITY_DN22230_c0_g3_i2	
P3503_123_TRINITY_DN22152_c0_g1_i2	P35031
P3503_106_TRINITY_DN38850_c0_g1_i1	
P3503_131_TRINITY_DN36457_c0_g1_i1	
P3503_117_TRINITY_DN20465_c2_g12_i1	Q27546
P3503_108_TRINITY_DN22722_c0_g1_i1	
P3503_114_TRINITY_DN21524_c9_g4_i6	
P3503_114_TRINITY_DN21524_c9_g4_i7	
P3503_123_TRINITY_DN22584_c3_g2_i1	Q12841
P3503_131_TRINITY_DN39469_c0_g1_i1	Q64700
P3503_113_TRINITY_DN29356_c0_g1_i1	Q5ZMS4
P3503_121_TRINITY_DN12737_c0_g2_i1	B0R1D5
P3503_115_TRINITY_DN19475_c2_g2_i1	
P3503_130_TRINITY_DN22292_c5_g3_i13	Q90WJ7
P3503_103_TRINITY_DN6925_c0_g1_i1	Q75V66
P3503_109_TRINITY_DN17816_c0_g1_i1	Q9Y3D3
P3503_130_TRINITY_DN13540_c0_g1_i1	
P3503_119_TRINITY_DN695_c0_g1_i1	Q8BUJ9
P3503_108_TRINITY_DN18943_c0_g1_i1	Q9TTU3
P3503_106_TRINITY_DN32898_c0_g1_i1	
P3503_121_TRINITY_DN28866_c0_g1_i1	
P3503_119_TRINITY_DN21467_c0_g1_i1	Q9H422
P3503_129_TRINITY_DN17343_c0_g3_i1	
P3503_105_TRINITY_DN21275_c0_g1_i1	O94762
P3503_109_TRINITY_DN26231_c0_g1_i1	Q63918
P3503_125_TRINITY_DN21631_c1_g1_i1	
P3503_109_TRINITY_DN3071_c0_g1_i1	Q8BGX0
P3503_120_TRINITY_DN20526_c0_g2_i1	Q6DG32
P3503_108_TRINITY_DN17918_c2_g2_i1	
P3503_123_TRINITY_DN29951_c0_g1_i1	
P3503_131_TRINITY_DN7722_c0_g1_i1	
P3503_123_TRINITY_DN22439_c4_g2_i2	A7MBU6
P3503_103_TRINITY_DN20029_c0_g1_i1	Q7YQM4
P3503_106_TRINITY_DN28940_c0_g1_i1	
P3503_130_TRINITY_DN22217_c2_g11_i6	
P3503_108_TRINITY_DN19052_c0_g3_i1	Q7T2F6
P3503_129_TRINITY_DN25142_c0_g1_i1	
P3503_119_TRINITY_DN12117_c0_g1_i1	
P3503_106_TRINITY_DN167_c0_g2_i1	Q5R806
P3503_131_TRINITY_DN21538_c1_g10_i1	
P3503_125_TRINITY_DN26862_c0_g1_i1	
P3503_119_TRINITY_DN3655_c0_g1_i1	Q8N6G6
P3503_103_TRINITY_DN3063_c0_g1_i1	
P3503_115_TRINITY_DN18639_c0_g1_i2	Q7ZWL6
P3503_129_TRINITY_DN12029_c0_g1_i1	
P3503_132_TRINITY_DN1635_c0_g1_i1	
P3503_111_TRINITY_DN17788_c1_g1_i1	Q96BQ5
P3503_119_TRINITY_DN17423_c2_g1_i1	
P3503_108_TRINITY_DN4254_c0_g1_i1	Q922D8
P3503_113_TRINITY_DN19729_c1_g2_i1	
P3503_103_TRINITY_DN19487_c0_g1_i1	P08253
P3503_114_TRINITY_DN31536_c0_g1_i1	
P3503_115_TRINITY_DN6289_c0_g1_i1	
P3503_115_TRINITY_DN22126_c0_g1_i1	
P3503_108_TRINITY_DN19694_c0_g1_i21	Q09666
P3503_130_TRINITY_DN9949_c0_g1_i1	
P3503_114_TRINITY_DN24951_c0_g1_i1	
P3503_109_TRINITY_DN18734_c0_g1_i2	Q02614
P3503_109_TRINITY_DN18734_c0_g1_i1	Q02614
P3503_114_TRINITY_DN18338_c0_g2_i1	Q2KJ28
P3503_121_TRINITY_DN16208_c0_g1_i1	Q92956
P3503_111_TRINITY_DN23308_c0_g2_i1	
P3503_131_TRINITY_DN655_c0_g1_i1	
P3503_114_TRINITY_DN6307_c0_g2_i1	
P3503_114_TRINITY_DN37741_c0_g1_i1	
P3503_102_TRINITY_DN16614_c0_g1_i1	
P3503_118_TRINITY_DN12566_c1_g1_i1	
P3503_118_TRINITY_DN4438_c0_g1_i1	
P3503_123_TRINITY_DN33605_c0_g1_i1	Q7TQ20
P3503_119_TRINITY_DN22976_c4_g5_i3	P13623
P3503_114_TRINITY_DN21637_c1_g2_i1	Q8BU31
P3503_106_TRINITY_DN33166_c0_g1_i1	
P3503_109_TRINITY_DN10717_c0_g1_i1	
P3503_114_TRINITY_DN37825_c0_g1_i1	
P3503_131_TRINITY_DN32621_c0_g1_i1	
P3503_131_TRINITY_DN21095_c0_g1_i1	P09960
P3503_120_TRINITY_DN26234_c0_g1_i1	
P3503_101_TRINITY_DN32576_c0_g1_i1	
P3503_125_TRINITY_DN26409_c0_g1_i1	
P3503_129_TRINITY_DN29741_c0_g1_i1	
P3503_121_TRINITY_DN19145_c0_g1_i1	
P3503_129_TRINITY_DN16520_c0_g1_i1	
P3503_111_TRINITY_DN15724_c0_g3_i1	Q8TB73
P3503_109_TRINITY_DN18499_c0_g1_i1	
P3503_123_TRINITY_DN22446_c0_g9_i12	A0ZSK3
P3503_106_TRINITY_DN5015_c0_g1_i1	Q90YI3
P3503_132_TRINITY_DN29359_c0_g1_i1	
P3503_133_TRINITY_DN15826_c0_g1_i1	P48298
P3503_119_TRINITY_DN18467_c0_g1_i1	
P3503_114_TRINITY_DN687_c0_g1_i1	
P3503_120_TRINITY_DN10663_c0_g1_i1	B1H2T2
P3503_103_TRINITY_DN21190_c1_g1_i1	
P3503_129_TRINITY_DN22482_c0_g1_i1	Q05B60
P3503_121_TRINITY_DN18561_c0_g1_i1	
P3503_106_TRINITY_DN17171_c0_g1_i1	
P3503_109_TRINITY_DN29550_c0_g1_i1	
P3503_114_TRINITY_DN30396_c0_g1_i1	Q13643
P3503_114_TRINITY_DN25472_c0_g1_i1	P07516
P3503_121_TRINITY_DN38122_c0_g1_i1	
P3503_117_TRINITY_DN18750_c1_g1_i2	P08709
P3503_101_TRINITY_DN20246_c2_g1_i1	Q91YE5
P3503_108_TRINITY_DN11239_c0_g1_i1	Q90YR4
P3503_118_TRINITY_DN17952_c0_g1_i1	O95248
P3503_120_TRINITY_DN21889_c0_g1_i1	
P3503_125_TRINITY_DN21955_c0_g1_i1	
P3503_129_TRINITY_DN31527_c0_g1_i1	Q9H2D1
P3503_132_TRINITY_DN20580_c0_g2_i1	
P3503_125_TRINITY_DN32142_c0_g1_i1	
P3503_114_TRINITY_DN21587_c3_g8_i1	
P3503_114_TRINITY_DN36824_c0_g1_i1	
P3503_111_TRINITY_DN21706_c1_g1_i1	
P3503_131_TRINITY_DN21469_c1_g1_i1	
P3503_120_TRINITY_DN39555_c0_g1_i1	
P3503_106_TRINITY_DN3364_c0_g1_i1	F1LSG8
P3503_115_TRINITY_DN22827_c0_g1_i1	
P3503_109_TRINITY_DN20203_c0_g1_i1	O97776
P3503_106_TRINITY_DN4127_c1_g1_i1	
P3503_133_TRINITY_DN1507_c1_g1_i1	
P3503_111_TRINITY_DN16573_c1_g1_i1	Q4W5Z4
P3503_121_TRINITY_DN18814_c0_g1_i3	P42285
P3503_121_TRINITY_DN18814_c0_g1_i1	P42285
P3503_133_TRINITY_DN21341_c0_g3_i1	Q6GPK9
P3503_101_TRINITY_DN12524_c0_g1_i1	P0CB93
P3503_109_TRINITY_DN18727_c2_g2_i1	P50616
P3503_133_TRINITY_DN2004_c0_g1_i1	
P3503_113_TRINITY_DN2784_c0_g1_i1	
P3503_113_TRINITY_DN19721_c0_g4_i1	Q69ZQ1
P3503_125_TRINITY_DN10261_c0_g1_i1	
P3503_125_TRINITY_DN14081_c0_g1_i1	Q8VCW4
P3503_131_TRINITY_DN18177_c0_g1_i2	P49416
P3503_106_TRINITY_DN19247_c0_g2_i1	Q6MFZ5
P3503_130_TRINITY_DN22089_c0_g2_i11	
P3503_109_TRINITY_DN13998_c0_g1_i1	Q9H5H4
P3503_109_TRINITY_DN14708_c0_g1_i1	Q00536
P3503_121_TRINITY_DN11466_c0_g1_i1	
P3503_109_TRINITY_DN20117_c1_g1_i2	P30999
P3503_121_TRINITY_DN21174_c3_g1_i1	F1QBY1
P3503_102_TRINITY_DN18362_c1_g2_i1	B5XB27
P3503_114_TRINITY_DN31872_c0_g1_i1	
P3503_125_TRINITY_DN24326_c0_g1_i1	Q5RB23
P3503_118_TRINITY_DN8041_c0_g1_i1	
P3503_113_TRINITY_DN34374_c0_g1_i1	Q6P3S1
P3503_111_TRINITY_DN18279_c0_g1_i1	
P3503_130_TRINITY_DN25956_c0_g1_i1	Q91VY5
P3503_125_TRINITY_DN17973_c0_g2_i1	Q8UVR8
P3503_125_TRINITY_DN16342_c0_g1_i1	
P3503_108_TRINITY_DN16596_c1_g1_i1	Q3B7Z2
P3503_118_TRINITY_DN34908_c0_g1_i1	O93533
P3503_114_TRINITY_DN9423_c0_g1_i1	Q96M96
P3503_105_TRINITY_DN18314_c1_g2_i3	
P3503_133_TRINITY_DN27962_c0_g1_i1	P48281
P3503_115_TRINITY_DN37051_c0_g1_i1	Q5HZQ9
P3503_114_TRINITY_DN19182_c0_g2_i1	
P3503_118_TRINITY_DN32792_c0_g1_i1	
P3503_125_TRINITY_DN39807_c0_g1_i1	O95714
P3503_101_TRINITY_DN457_c0_g1_i1	Q5T0B9
P3503_125_TRINITY_DN13595_c0_g1_i1	B5XDD3
P3503_118_TRINITY_DN21809_c0_g1_i2	P40818
P3503_123_TRINITY_DN15438_c0_g1_i1	
P3503_129_TRINITY_DN21881_c0_g5_i3	
P3503_103_TRINITY_DN22594_c0_g1_i1	
P3503_101_TRINITY_DN5594_c0_g1_i1	
P3503_119_TRINITY_DN22121_c0_g3_i1	P46405
P3503_131_TRINITY_DN19975_c2_g1_i1	
P3503_103_TRINITY_DN18965_c1_g1_i1	
P3503_130_TRINITY_DN120_c1_g1_i1	
P3503_118_TRINITY_DN14105_c0_g1_i1	Q9H307
P3503_117_TRINITY_DN21683_c0_g1_i1	
P3503_113_TRINITY_DN21094_c2_g6_i1	
P3503_117_TRINITY_DN20606_c0_g2_i2	
P3503_132_TRINITY_DN20355_c0_g1_i1	Q96K19
P3503_119_TRINITY_DN24047_c0_g1_i1	
P3503_125_TRINITY_DN11205_c0_g1_i1	
P3503_132_TRINITY_DN20355_c0_g1_i2	Q96K19
P3503_103_TRINITY_DN21483_c3_g2_i1	P03934
P3503_114_TRINITY_DN31490_c0_g1_i1	
P3503_129_TRINITY_DN38186_c0_g1_i1	
P3503_121_TRINITY_DN19957_c0_g1_i1	Q9H4F8
P3503_121_TRINITY_DN19957_c0_g1_i3	Q8BLY1
P3503_101_TRINITY_DN24747_c0_g1_i1	
P3503_117_TRINITY_DN19609_c2_g2_i1	
P3503_111_TRINITY_DN14151_c0_g2_i1	Q5RFA0
P3503_117_TRINITY_DN15989_c0_g2_i1	Q6PEH1
P3503_121_TRINITY_DN21443_c4_g3_i5	O54759
P3503_101_TRINITY_DN21750_c0_g1_i1	A2AB59
P3503_118_TRINITY_DN35698_c0_g1_i1	E6ZGB4
P3503_121_TRINITY_DN21443_c4_g3_i3	O54758
P3503_119_TRINITY_DN23035_c7_g1_i5	P11597
P3503_119_TRINITY_DN23202_c0_g1_i3	
P3503_132_TRINITY_DN26827_c0_g1_i1	Q0VBY7
P3503_119_TRINITY_DN23035_c7_g1_i2	
P3503_119_TRINITY_DN23202_c0_g1_i8	
P3503_114_TRINITY_DN19726_c9_g1_i1	Q9H2E6
P3503_123_TRINITY_DN8679_c0_g1_i1	Q9W6X3
P3503_102_TRINITY_DN19000_c2_g1_i1	
P3503_115_TRINITY_DN6609_c0_g2_i1	E3TDS3
P3503_113_TRINITY_DN36339_c0_g1_i1	
P3503_123_TRINITY_DN34346_c0_g1_i1	Q8NFP9
P3503_118_TRINITY_DN22095_c3_g2_i1	
P3503_121_TRINITY_DN34688_c0_g1_i1	
P3503_133_TRINITY_DN17505_c1_g1_i1	
P3503_114_TRINITY_DN21663_c9_g6_i1	
P3503_101_TRINITY_DN1135_c0_g1_i1	
P3503_108_TRINITY_DN36388_c0_g1_i1	Q6ZVX9
P3503_118_TRINITY_DN39476_c0_g1_i1	
P3503_133_TRINITY_DN26539_c0_g1_i1	
P3503_121_TRINITY_DN20926_c1_g1_i2	Q5ZK03
P3503_114_TRINITY_DN31226_c0_g1_i1	
P3503_120_TRINITY_DN31412_c0_g1_i1	Q7TS63
P3503_109_TRINITY_DN25368_c0_g1_i1	
P3503_130_TRINITY_DN19980_c0_g3_i1	Q14558
P3503_131_TRINITY_DN36347_c0_g1_i1	Q7ZUV2
P3503_131_TRINITY_DN38469_c0_g1_i1	
P3503_115_TRINITY_DN20700_c1_g2_i1	P53677
P3503_131_TRINITY_DN187_c0_g1_i1	
P3503_118_TRINITY_DN25681_c0_g1_i1	Q1LVC2
P3503_109_TRINITY_DN9875_c0_g1_i1	
P3503_118_TRINITY_DN28792_c0_g1_i1	O60237
P3503_108_TRINITY_DN36928_c0_g1_i1	
P3503_129_TRINITY_DN5550_c0_g1_i1	Q61739
P3503_101_TRINITY_DN16460_c0_g1_i2	Q3L8U1
P3503_106_TRINITY_DN21691_c5_g15_i5	
P3503_133_TRINITY_DN22928_c3_g1_i3	Q62936
P3503_106_TRINITY_DN21691_c5_g15_i2	
P3503_103_TRINITY_DN1444_c0_g1_i1	Q9JLT0
P3503_132_TRINITY_DN19574_c1_g1_i1	Q9NWZ5
P3503_111_TRINITY_DN22502_c0_g2_i1	Q9BXB5
P3503_102_TRINITY_DN19698_c15_g1_i1	
P3503_125_TRINITY_DN21989_c0_g1_i1	
P3503_118_TRINITY_DN29339_c0_g1_i1	Q6NTN5
P3503_133_TRINITY_DN1545_c0_g1_i1	
P3503_121_TRINITY_DN22682_c0_g1_i1	
P3503_108_TRINITY_DN3029_c0_g1_i1	P35556
P3503_121_TRINITY_DN23352_c0_g1_i1	
P3503_119_TRINITY_DN28189_c0_g1_i1	
P3503_119_TRINITY_DN26696_c0_g1_i1	Q70E73
P3503_115_TRINITY_DN21048_c2_g1_i1	
P3503_113_TRINITY_DN27074_c0_g1_i1	
P3503_113_TRINITY_DN27140_c0_g1_i1	O35819
P3503_129_TRINITY_DN11335_c0_g1_i1	Q8N3C7
P3503_109_TRINITY_DN12593_c0_g1_i1	
P3503_114_TRINITY_DN36270_c0_g1_i1	
P3503_115_TRINITY_DN20523_c0_g1_i1	A7MBU6
P3503_133_TRINITY_DN23156_c2_g1_i1	P18265
P3503_101_TRINITY_DN20772_c5_g4_i2	
P3503_109_TRINITY_DN34308_c0_g1_i1	
P3503_120_TRINITY_DN38558_c0_g1_i1	
P3503_109_TRINITY_DN11214_c0_g2_i1	Q5RFN7
P3503_101_TRINITY_DN2775_c0_g1_i1	P55200
P3503_111_TRINITY_DN15761_c2_g1_i1	Q05909
P3503_132_TRINITY_DN33669_c0_g1_i1	
P3503_102_TRINITY_DN12909_c1_g1_i1	
P3503_103_TRINITY_DN21526_c2_g9_i1	
P3503_109_TRINITY_DN18617_c0_g1_i1	Q8BUL6
P3503_109_TRINITY_DN5462_c0_g3_i1	
P3503_115_TRINITY_DN17335_c1_g1_i1	Q3UCQ1
P3503_115_TRINITY_DN21048_c2_g2_i2	Q5U3U3
P3503_115_TRINITY_DN21048_c2_g2_i1	
P3503_115_TRINITY_DN21460_c0_g1_i1	
P3503_131_TRINITY_DN10364_c0_g1_i1	
P3503_131_TRINITY_DN30009_c0_g1_i1	
P3503_102_TRINITY_DN16623_c0_g2_i1	
P3503_131_TRINITY_DN21652_c1_g1_i9	Q568P1
P3503_113_TRINITY_DN22333_c0_g1_i1	O35674
P3503_108_TRINITY_DN5467_c0_g1_i1	
P3503_109_TRINITY_DN13110_c0_g1_i1	
P3503_123_TRINITY_DN2317_c0_g1_i1	Q6PEE3
P3503_102_TRINITY_DN19519_c2_g2_i1	P11171
P3503_131_TRINITY_DN14611_c0_g1_i1	
P3503_101_TRINITY_DN20798_c8_g1_i6	
P3503_120_TRINITY_DN21490_c1_g1_i6	
P3503_108_TRINITY_DN730_c1_g1_i1	
P3503_131_TRINITY_DN38146_c0_g1_i1	Q9D236
P3503_111_TRINITY_DN8796_c0_g1_i1	
P3503_111_TRINITY_DN19406_c0_g1_i1	
P3503_113_TRINITY_DN36787_c0_g1_i1	P00940
P3503_120_TRINITY_DN25049_c0_g1_i1	
P3503_114_TRINITY_DN29671_c0_g1_i1	
P3503_119_TRINITY_DN32672_c0_g1_i1	Q4FZC9
P3503_129_TRINITY_DN22452_c4_g3_i1	
P3503_101_TRINITY_DN4138_c0_g1_i1	Q1KKR9
P3503_117_TRINITY_DN18490_c0_g1_i2	D3Z7P3
P3503_103_TRINITY_DN15214_c0_g1_i1	
P3503_129_TRINITY_DN42383_c0_g1_i1	
P3503_118_TRINITY_DN35276_c0_g1_i1	Q99973
P3503_125_TRINITY_DN9483_c0_g2_i1	P70583
P3503_111_TRINITY_DN32253_c0_g1_i1	
P3503_117_TRINITY_DN28368_c0_g1_i1	Q5ZJ66
P3503_121_TRINITY_DN29274_c0_g1_i1	Q8BI21
P3503_133_TRINITY_DN23452_c10_g1_i1	
P3503_120_TRINITY_DN19267_c0_g2_i2	Q5XJD3
P3503_111_TRINITY_DN11214_c0_g1_i1	
P3503_106_TRINITY_DN20452_c0_g3_i1	
P3503_102_TRINITY_DN13611_c0_g1_i1	
P3503_103_TRINITY_DN11501_c0_g1_i1	
P3503_106_TRINITY_DN36784_c0_g1_i1	
P3503_130_TRINITY_DN4786_c0_g1_i1	Q7PCJ8
P3503_119_TRINITY_DN26270_c0_g1_i1	
P3503_111_TRINITY_DN23379_c6_g2_i5	P98093
P3503_111_TRINITY_DN23379_c6_g2_i6	P98093
P3503_108_TRINITY_DN19428_c1_g2_i1	
P3503_106_TRINITY_DN25496_c0_g1_i1	
P3503_121_TRINITY_DN13286_c1_g1_i1	O95714
P3503_131_TRINITY_DN21164_c2_g2_i1	A0JMV4
P3503_108_TRINITY_DN19608_c2_g1_i2	
P3503_109_TRINITY_DN22635_c0_g1_i1	Q91V83
P3503_123_TRINITY_DN22266_c4_g2_i2	A6QP05
P3503_111_TRINITY_DN21565_c0_g1_i2	Q7T3B2
P3503_123_TRINITY_DN28126_c0_g1_i1	
P3503_103_TRINITY_DN18477_c0_g1_i3	
P3503_115_TRINITY_DN31692_c0_g1_i1	
P3503_109_TRINITY_DN20708_c7_g7_i4	
P3503_118_TRINITY_DN11059_c0_g1_i1	Q08509
P3503_109_TRINITY_DN20708_c7_g7_i1	
P3503_106_TRINITY_DN89_c0_g1_i1	
P3503_106_TRINITY_DN25980_c0_g1_i1	P21869
P3503_120_TRINITY_DN3515_c0_g1_i1	Q05AL1
P3503_102_TRINITY_DN12492_c0_g2_i1	P48441
P3503_131_TRINITY_DN9040_c0_g1_i1	
P3503_101_TRINITY_DN32752_c0_g1_i1	
P3503_114_TRINITY_DN24262_c0_g1_i1	
P3503_118_TRINITY_DN21661_c0_g1_i1	
P3503_118_TRINITY_DN18987_c0_g1_i1	P17427
P3503_129_TRINITY_DN39570_c0_g1_i1	
P3503_118_TRINITY_DN39424_c0_g1_i1	
P3503_117_TRINITY_DN15529_c0_g1_i1	
P3503_109_TRINITY_DN10406_c0_g1_i1	Q8NAP8
P3503_120_TRINITY_DN27691_c0_g1_i1	
P3503_119_TRINITY_DN33331_c0_g1_i1	
P3503_115_TRINITY_DN21573_c0_g1_i1	Q5T0D9
P3503_130_TRINITY_DN21481_c0_g1_i1	Q5T2D3
P3503_101_TRINITY_DN20902_c1_g3_i3	
P3503_103_TRINITY_DN17325_c1_g1_i1	O89110
P3503_114_TRINITY_DN10603_c0_g1_i1	
P3503_106_TRINITY_DN11163_c0_g1_i1	Q9ULH7
P3503_119_TRINITY_DN23212_c1_g15_i1	
P3503_133_TRINITY_DN182_c0_g1_i1	
P3503_114_TRINITY_DN20081_c0_g1_i1	Q8HYL8
P3503_132_TRINITY_DN36670_c0_g1_i1	
P3503_101_TRINITY_DN11211_c1_g1_i1	Q8BRH4
P3503_119_TRINITY_DN1755_c0_g1_i1	
